AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM_ROUND,AM,PT10,PT25
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-51,Industrial Production Managers,detailed,"211,710",0.6,"120,900",0.4,"67,720","85,350","120,000",120.9,67.72,85.35
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-60,Purchasing Managers,broad,"75,070",1.4,"140,650",0.4,"80,000","101,790","140,000",140.65,80,101.79
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-61,Purchasing Managers,detailed,"75,070",1.4,"140,650",0.4,"80,000","101,790","140,000",140.65,80,101.79
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-70,"Transportation, Storage, and Distribution Managers",broad,"169,910",1.1,"108,910",0.5,"57,780","75,640","110,000",108.91,57.78,75.64
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-71,"Transportation, Storage, and Distribution Managers",detailed,"169,910",1.1,"108,910",0.5,"57,780","75,640","110,000",108.91,57.78,75.64
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,10-Nov,Compensation and Benefits Managers,broad,"16,850",2.2,"143,140",0.7,"77,230","99,270","140,000",143.14,77.23,99.27
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-Nov,Compensation and Benefits Managers,detailed,"16,850",2.2,"143,140",0.7,"77,230","99,270","140,000",143.14,77.23,99.27
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,20-Nov,Human Resources Managers,broad,"181,360",1.7,"145,750",0.4,"76,610","98,230","150,000",145.75,76.61,98.23
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-Nov,Human Resources Managers,detailed,"181,360",1.7,"145,750",0.4,"76,610","98,230","150,000",145.75,76.61,98.23
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,30-Nov,Training and Development Managers,broad,"39,550",1,"132,100",0.8,"68,450","88,680","130,000",132.1,68.45,88.68
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-31,Training and Development Managers,detailed,"39,550",1,"132,100",0.8,"68,450","88,680","130,000",132.1,68.45,88.68
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-00,Other Management Occupations,minor,"2,942,420",0.6,"113,420",0.3,"48,840","67,250","110,000",113.42,48.84,67.25
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,10-Nov,"Farmers, Ranchers, and Other Agricultural Managers",broad,"6,250",4,"83,790",2.5,"37,440","53,160","80,000",83.79,37.44,53.16
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-Nov,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"6,250",4,"83,790",2.5,"37,440","53,160","80,000",83.79,37.44,53.16
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,20-Nov,Construction Managers,broad,"303,220",1.9,"112,790",0.6,"62,210","78,950","110,000",112.79,62.21,78.95
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-Nov,Construction Managers,detailed,"303,220",1.9,"112,790",0.6,"62,210","78,950","110,000",112.79,62.21,78.95
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,30-Nov,Education and Childcare Administrators,broad,"563,170",0.4,"103,370",0.4,"50,820","74,120","100,000",103.37,50.82,74.12
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-31,"Education and Childcare Administrators, Preschool and Daycare",detailed,"60,010",2.3,"57,610",1.7,"35,190","40,470","60,000",57.61,35.19,40.47
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-32,"Education Administrators, Kindergarten through Secondary",detailed,"285,910",0.5,"106,690",0.5,"64,690","80,290","110,000",106.69,64.69,80.29
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-33,"Education Administrators, Postsecondary",detailed,"167,060",0.2,"115,180",0.4,"61,000","77,010","120,000",115.18,61,77.01
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-39,"Education Administrators, All Other",detailed,"50,180",1.3,"99,820",0.7,"48,650","64,460","100,000",99.82,48.65,64.46
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-40,Architectural and Engineering Managers,broad,"197,180",1.3,"163,310",0.3,"102,450","128,420","160,000",163.31,102.45,128.42
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-41,Architectural and Engineering Managers,detailed,"197,180",1.3,"163,310",0.3,"102,450","128,420","160,000",163.31,102.45,128.42
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-50,Food Service Managers,broad,"231,100",1.6,"67,130",0.8,"38,740","48,110","70,000",67.13,38.74,48.11
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-51,Food Service Managers,detailed,"231,100",1.6,"67,130",0.8,"38,740","48,110","70,000",67.13,38.74,48.11
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-70,Entertainment and Recreation Managers,broad,"27,750",2.1,"82,530",1.7,"39,560","51,660","80,000",82.53,39.56,51.66
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-71,Gambling Managers,detailed,"4,800",2.2,"95,830",1.1,"49,710","61,920","100,000",95.83,49.71,61.92
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-72,"Entertainment and Recreation Managers, Except Gambling",detailed,"22,950",2.7,"79,750",1.8,"38,350","49,980","80,000",79.75,38.35,49.98
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-80,Lodging Managers,broad,"39,870",2.1,"73,230",1.7,"36,860","47,000","70,000",73.23,36.86,47
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-81,Lodging Managers,detailed,"39,870",2.1,"73,230",1.7,"36,860","47,000","70,000",73.23,36.86,47
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,10-Nov,Medical and Health Services Managers,broad,"476,750",0.4,"127,980",0.4,"64,100","81,430","130,000",127.98,64.1,81.43
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-Nov,Medical and Health Services Managers,detailed,"476,750",0.4,"127,980",0.4,"64,100","81,430","130,000",127.98,64.1,81.43
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,20-Nov,Natural Sciences Managers,broad,"82,570",1.4,"163,610",1.6,"73,730","103,780","160,000",163.61,73.73,103.78
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-Nov,Natural Sciences Managers,detailed,"82,570",1.4,"163,610",1.6,"73,730","103,780","160,000",163.61,73.73,103.78
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,30-Nov,Postmasters and Mail Superintendents,broad,"13,460",0,"84,190",0,"74,900","76,420","80,000",84.19,74.9,76.42
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-31,Postmasters and Mail Superintendents,detailed,"13,460",0,"84,190",0,"74,900","76,420","80,000",84.19,74.9,76.42
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-40,"Property, Real Estate, and Community Association Managers",broad,"261,120",1.3,"76,110",1.3,"35,210","45,400","80,000",76.11,35.21,45.4
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-41,"Property, Real Estate, and Community Association Managers",detailed,"261,120",1.3,"76,110",1.3,"35,210","45,400","80,000",76.11,35.21,45.4
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-50,Social and Community Service Managers,broad,"162,880",1.2,"79,310",0.6,"46,770","58,590","80,000",79.31,46.77,58.59
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-51,Social and Community Service Managers,detailed,"162,880",1.2,"79,310",0.6,"46,770","58,590","80,000",79.31,46.77,58.59
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-60,Emergency Management Directors,broad,"11,290",1.5,"88,890",0.7,"46,920","59,480","90,000",88.89,46.92,59.48
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-61,Emergency Management Directors,detailed,"11,290",1.5,"88,890",0.7,"46,920","59,480","90,000",88.89,46.92,59.48
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-70,Personal Service Managers,broad,"22,520",3,"75,250",1.6,"37,010","47,700","80,000",75.25,37.01,47.7
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-71,Funeral Home Managers,detailed,"13,680",3.3,"84,770",1.5,"43,910","53,490","80,000",84.77,43.91,53.49
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-79,"Personal Service Managers, All Other",detailed,"8,840",9.4,"60,510",2.7,"35,010","40,350","60,000",60.51,35.01,40.35
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-90,Miscellaneous Managers,broad,"543,290",1,"141,190",0.5,"63,380","92,840","140,000",141.19,63.38,92.84
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-99,"Managers, All Other",detailed,"543,290",1,"141,190",0.5,"63,380","92,840","140,000",141.19,63.38,92.84
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,"9,677,720",0.7,"86,080",0.3,"42,750","56,840","90,000",86.08,42.75,56.84
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1000,Business Operations Specialists,minor,"6,660,810",0.7,"83,280",0.2,"41,710","55,360","80,000",83.28,41.71,55.36
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"13,130",5,"120,100",4.1,"45,180","62,910","120,000",120.1,45.18,62.91
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"13,130",5,"120,100",4.1,"45,180","62,910","120,000",120.1,45.18,62.91
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,broad,"464,880",1.3,"75,140",0.3,"41,060","51,820","80,000",75.14,41.06,51.82
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,"464,880",1.3,"75,140",0.3,"41,060","51,820","80,000",75.14,41.06,51.82
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"296,700",1,"73,320",0.3,"46,250","57,290","70,000",73.32,46.25,57.29
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"285,270",1,"73,380",0.3,"46,040","57,050","70,000",73.38,46.04,57.05
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,"11,430",5.2,"71,580",0.7,"49,940","60,980","70,000",71.58,49.94,60.98
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1040,Compliance Officers,broad,"359,640",1.6,"76,980",0.7,"41,050","52,490","80,000",76.98,41.05,52.49
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,"359,640",1.6,"76,980",0.7,"41,050","52,490","80,000",76.98,41.05,52.49
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1050,Cost Estimators,broad,"225,310",1,"76,740",0.5,"42,110","53,080","80,000",76.74,42.11,53.08
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,"225,310",1,"76,740",0.5,"42,110","53,080","80,000",76.74,42.11,53.08
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1070,Human Resources Workers,broad,"898,110",1,"74,060",0.4,"39,320","49,450","70,000",74.06,39.32,49.45
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,"835,360",1.2,"73,080",0.4,"39,340","49,160","70,000",73.08,39.34,49.16
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,detailed,550,15.4,"54,630",6.6,"29,880","34,890","50,000",54.63,29.88,34.89
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,"62,200",1.8,"87,470",0.8,"38,900","61,240","90,000",87.47,38.9,61.24
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1080,Logisticians and Project Management Specialists,broad,"1,046,880",1,"97,660",0.4,"50,680","65,540","100,000",97.66,50.68,65.54
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,"202,970",0.8,"81,220",0.4,"46,260","60,020","80,000",81.22,46.26,60.02
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,"843,910",1.3,"101,610",0.5,"52,500","68,980","100,000",101.61,52.5,68.98
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1110,Management Analysts,broad,"808,860",0.7,"104,660",0.4,"55,590","70,310","100,000",104.66,55.59,70.31
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,"808,860",0.7,"104,660",0.4,"55,590","70,310","100,000",104.66,55.59,70.31
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1120,"Meeting, Convention, and Event Planners",broad,"112,070",2.1,"58,750",1.1,"32,050","40,030","60,000",58.75,32.05,40.03
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,"112,070",2.1,"58,750",1.1,"32,050","40,030","60,000",58.75,32.05,40.03
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1130,Fundraisers,broad,"94,630",2.4,"66,670",0.8,"37,700","46,930","70,000",66.67,37.7,46.93
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,"94,630",2.4,"66,670",0.8,"37,700","46,930","70,000",66.67,37.7,46.93
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"93,550",1.2,"75,920",0.5,"42,250","52,410","80,000",75.92,42.25,52.41
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"93,550",1.2,"75,920",0.5,"42,250","52,410","80,000",75.92,42.25,52.41
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1150,Training and Development Specialists,broad,"367,180",1,"69,870",0.5,"34,950","46,480","70,000",69.87,34.95,46.48
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,"367,180",1,"69,870",0.5,"34,950","46,480","70,000",69.87,34.95,46.48
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1160,Market Research Analysts and Marketing Specialists,broad,"798,620",1.3,"78,880",0.4,"38,280","49,980","80,000",78.88,38.28,49.98
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,"798,620",1.3,"78,880",0.4,"38,280","49,980","80,000",78.88,38.28,49.98
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1190,Miscellaneous Business Operations Specialists,broad,"1,081,230",0.8,"82,670",0.3,"40,310","54,720","80,000",82.67,40.31,54.72
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,"1,081,230",0.8,"82,670",0.3,"40,310","54,720","80,000",82.67,40.31,54.72
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2000,Financial Specialists,minor,"3,016,910",0.7,"92,290",0.5,"44,990","59,180","90,000",92.29,44.99,59.18
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2010,Accountants and Auditors,broad,"1,402,420",0.5,"86,740",0.4,"48,560","60,920","90,000",86.74,48.56,60.92
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,"1,402,420",0.5,"86,740",0.4,"48,560","60,920","90,000",86.74,48.56,60.92
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,broad,"59,970",2.4,"80,460",7.3,"35,700","46,530","80,000",80.46,35.7,46.53
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,"59,970",2.4,"80,460",7.3,"35,700","46,530","80,000",80.46,35.7,46.53
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2030,Budget Analysts,broad,"48,430",1,"87,680",0.3,"53,000","65,360","90,000",87.68,53,65.36
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,"48,430",1,"87,680",0.3,"53,000","65,360","90,000",87.68,53,65.36
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2040,Credit Analysts,broad,"71,960",1.5,"92,180",0.5,"47,960","60,290","90,000",92.18,47.96,60.29
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,"71,960",1.5,"92,180",0.5,"47,960","60,290","90,000",92.18,47.96,60.29
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2050,Financial Analysts and Advisors,broad,"736,130",1.1,"116,770",1.2,"49,890","64,390","120,000",116.77,49.89,64.39
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2051,Financial and Investment Analysts,detailed,"291,370",1.6,"108,790",1.6,"58,950","73,320","110,000",108.79,58.95,73.32
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,"283,060",1.3,"137,740",1.6,"46,700","61,960","140,000",137.74,46.7,61.96
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,"105,900",2,"82,990",0.8,"47,340","59,790","80,000",82.99,47.34,59.79
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2054,Financial Risk Specialists,detailed,"55,800",1.5,"116,140",0.9,"59,510","77,800","120,000",116.14,59.51,77.8
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2060,Financial Examiners,broad,"63,370",1.2,"95,610",0.5,"48,490","62,250","100,000",95.61,48.49,62.25
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,"63,370",1.2,"95,610",0.5,"48,490","62,250","100,000",95.61,48.49,62.25
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2070,Credit Counselors and Loan Officers,broad,"374,640",1.4,"81,640",1,"34,760","46,950","80,000",81.64,34.76,46.95
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,"29,090",3.3,"51,650",1,"33,670","39,090","50,000",51.65,33.67,39.09
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,"345,550",1.4,"84,160",1,"34,920","47,890","80,000",84.16,34.92,47.89
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"132,980",2,"59,100",0.9,"29,640","37,170","60,000",59.1,29.64,37.17
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"50,610",0.6,"64,410",0.3,"36,570","44,530","60,000",64.41,36.57,44.53
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,"82,370",3.3,"55,840",1.4,"27,680","34,350","60,000",55.84,27.68,34.35
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2090,Miscellaneous Financial Specialists,broad,"127,020",1.1,"83,580",1.1,"38,330","52,070","80,000",83.58,38.33,52.07
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2099,"Financial Specialists, All Other",detailed,"127,020",1.1,"83,580",1.1,"38,330","52,070","80,000",83.58,38.33,52.07
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,"5,003,910",0.2,"108,130",0.5,"49,330","67,730","110,000",108.13,49.33,67.73
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1200,Computer Occupations,minor,"4,677,500",0.2,"108,100",0.5,"49,060","67,430","110,000",108.1,49.06,67.43
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1210,Computer and Information Analysts,broad,"668,900",1.1,"110,550",0.5,"62,350","80,490","110,000",110.55,62.35,80.49
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"505,210",1.4,"107,530",0.5,"61,390","79,100","110,000",107.53,61.39,79.1
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,"163,690",1.3,"119,860",0.7,"66,010","85,270","120,000",119.86,66.01,85.27
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1220,Computer and Information Research Scientists,broad,"33,780",5.8,"155,880",6.7,"78,190","99,410","160,000",155.88,78.19,99.41
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,"33,780",5.8,"155,880",6.7,"78,190","99,410","160,000",155.88,78.19,99.41
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1230,Computer Support Specialists,broad,"865,750",0.6,"64,410",0.4,"37,270","46,470","60,000",64.41,37.27,46.47
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,"168,920",1.2,"76,060",0.9,"42,440","52,100","80,000",76.06,42.44,52.1
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,"696,830",0.7,"61,580",0.5,"36,580","45,330","60,000",61.58,36.58,45.33
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1240,Database and Network Administrators and Architects,broad,"642,840",0.8,"110,400",0.7,"59,820","77,770","110,000",110.4,59.82,77.77
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,"173,920",1,"129,490",0.7,"73,490","95,380","130,000",129.49,73.49,95.38
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,"80,520",1.1,"102,530",0.6,"53,010","70,140","100,000",102.53,53.01,70.14
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1243,Database Architects,detailed,"62,470",6.1,"136,540",2.4,"74,980","103,840","140,000",136.54,74.98,103.84
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,"325,930",0.7,"97,160",0.6,"56,260","70,120","100,000",97.16,56.26,70.12
